FY,FYT,QTR,QTRT,EFDATE,EFDATET
1,FY 2011,1,OCT-DEC 2010,201010,OCT 2010
1,FY 2011,1,OCT-DEC 2010,201011,NOV 2010
1,FY 2011,1,OCT-DEC 2010,201012,DEC 2010
1,FY 2011,2,JAN-MAR 2011,201101,JAN 2011
1,FY 2011,2,JAN-MAR 2011,201102,FEB 2011
1,FY 2011,2,JAN-MAR 2011,201103,MAR 2011
1,FY 2011,3,APR-JUN 2011,201104,APR 2011
1,FY 2011,3,APR-JUN 2011,201105,MAY 2011
1,FY 2011,3,APR-JUN 2011,201106,JUN 2011
1,FY 2011,4,JUL-SEP 2011,201107,JUL 2011
1,FY 2011,4,JUL-SEP 2011,201108,AUG 2011
1,FY 2011,4,JUL-SEP 2011,201109,SEP 2011
2,FY 2012,1,OCT-DEC 2011,201110,OCT 2011
2,FY 2012,1,OCT-DEC 2011,201111,NOV 2011
2,FY 2012,1,OCT-DEC 2011,201112,DEC 2011
2,FY 2012,2,JAN-MAR 2012,201201,JAN 2012
2,FY 2012,2,JAN-MAR 2012,201202,FEB 2012
2,FY 2012,2,JAN-MAR 2012,201203,MAR 2012
2,FY 2012,3,APR-JUN 2012,201204,APR 2012
2,FY 2012,3,APR-JUN 2012,201205,MAY 2012
2,FY 2012,3,APR-JUN 2012,201206,JUN 2012
2,FY 2012,4,JUL-SEP 2012,201207,JUL 2012
2,FY 2012,4,JUL-SEP 2012,201208,AUG 2012
2,FY 2012,4,JUL-SEP 2012,201209,SEP 2012
3,FY 2013,1,OCT-DEC 2012,201210,OCT 2012
3,FY 2013,1,OCT-DEC 2012,201211,NOV 2012
3,FY 2013,1,OCT-DEC 2012,201212,DEC 2012
3,FY 2013,2,JAN-MAR 2013,201301,JAN 2013
3,FY 2013,2,JAN-MAR 2013,201302,FEB 2013
3,FY 2013,2,JAN-MAR 2013,201303,MAR 2013
3,FY 2013,3,APR-JUN 2013,201304,APR 2013
3,FY 2013,3,APR-JUN 2013,201305,MAY 2013
3,FY 2013,3,APR-JUN 2013,201306,JUN 2013
3,FY 2013,4,JUL-SEP 2013,201307,JUL 2013
3,FY 2013,4,JUL-SEP 2013,201308,AUG 2013
3,FY 2013,4,JUL-SEP 2013,201309,SEP 2013
4,FY 2014,1,OCT-DEC 2013,201310,OCT 2013
4,FY 2014,1,OCT-DEC 2013,201311,NOV 2013
4,FY 2014,1,OCT-DEC 2013,201312,DEC 2013
4,FY 2014,2,JAN-MAR 2014,201401,JAN 2014
4,FY 2014,2,JAN-MAR 2014,201402,FEB 2014
4,FY 2014,2,JAN-MAR 2014,201403,MAR 2014
4,FY 2014,3,APR-JUN 2014,201404,APR 2014
4,FY 2014,3,APR-JUN 2014,201405,MAY 2014
4,FY 2014,3,APR-JUN 2014,201406,JUN 2014
4,FY 2014,5,JUL-SEP 2014,201407,JUL 2014
4,FY 2014,5,JUL-SEP 2014,201408,AUG 2014
4,FY 2014,5,JUL-SEP 2014,201409,SEP 2014
5,FY 2015,1,OCT-DEC 2014,201410,OCT 2014
5,FY 2015,1,OCT-DEC 2014,201411,NOV 2014
5,FY 2015,1,OCT-DEC 2014,201412,DEC 2014
5,FY 2015,2,JAN-MAR 2015,201501,JAN 2015
5,FY 2015,2,JAN-MAR 2015,201502,FEB 2015
5,FY 2015,2,JAN-MAR 2015,201503,MAR 2015
5,FY 2015,3,APR-JUN 2015,201504,APR 2015
5,FY 2015,3,APR-JUN 2015,201505,MAY 2015
5,FY 2015,3,APR-JUN 2015,201506,JUN 2015
5,FY 2015,4,JUL-SEP 2015,201507,JUL 2015
5,FY 2015,4,JUL-SEP 2015,201508,AUG 2015
5,FY 2015,4,JUL-SEP 2015,201509,SEP 2015
6,FY 2016,1,OCT-DEC 2015,201510,OCT 2015
6,FY 2016,1,OCT-DEC 2015,201511,NOV 2015
6,FY 2016,1,OCT-DEC 2015,201512,DEC 2015
6,FY 2016,2,JAN-MAR 2016,201601,JAN 2016
6,FY 2016,2,JAN-MAR 2016,201602,FEB 2016
6,FY 2016,2,JAN-MAR 2016,201603,MAR 2016
6,FY 2016,3,APR-JUN 2016,201604,APR 2016
6,FY 2016,3,APR-JUN 2016,201605,MAY 2016
6,FY 2016,3,APR-JUN 2016,201606,JUN 2016
6,FY 2016,4,JUL-SEP 2016,201607,JUL 2016
6,FY 2016,4,JUL-SEP 2016,201608,AUG 2016
6,FY 2016,4,JUL-SEP 2016,201609,SEP 2016
7,FY 2017,1,OCT-DEC 2016,201610,OCT 2016
7,FY 2017,1,OCT-DEC 2016,201611,NOV 2016
7,FY 2017,1,OCT-DEC 2016,201612,DEC 2016
7,FY 2017,2,JAN-MAR 2017,201701,JAN 2017
7,FY 2017,2,JAN-MAR 2017,201702,FEB 2017
7,FY 2017,2,JAN-MAR 2017,201703,MAR 2017
7,FY 2017,3,APR-JUN 2017,201704,APR 2017
7,FY 2017,3,APR-JUN 2017,201705,MAY 2017
7,FY 2017,3,APR-JUN 2017,201706,JUN 2017
7,FY 2017,4,JUL-SEP 2017,201707,JUL 2017
7,FY 2017,4,JUL-SEP 2017,201708,AUG 2017
7,FY 2017,4,JUL-SEP 2017,201709,SEP 2017
